Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
dummy20220603135315317100000002/639f23405c403569,bosswireless-uat-utils-dummy-load-testing-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
promo20221124153027567800000002/751279d8f5af21e7,bosswireless-uat-promo-handler-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
omni-20220603143513372000000002/ac3b2193d41df0f3,bosswireless-uat-utils-omni-validator-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
torch20210525062922455100000002/1025998fa0eba0d5,bosswireless-prod-torchwood-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210820121532477200000002/014b20c794d21290,bosswireless-uat-mvno-inhouse-sims-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
clust20210503164717346100000001/2064c9bb8139ac49,bosswireless-uat-cluster-monitor-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmob20210526073613808300000001/024fd8ba85f99a34,bosswireless-prod-brmobile-api-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210512173005762900000001/9cf96c382c7a1fb8,bosswireless-uat-mvno-usage-import-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
i-0e0a312b7820a2584,bosswireless-uat,EC2,Instance,us-east-1,16,team_boss_wireless
eni-088e3b739b4d2af67,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
eni-092b4b40f66186fda,(not tagged),EC2,NetworkInterface,us-east-1,7,team_boss_wireless
sg-03524b7ef592f4f39,bosswireless-uat-utils-asg-local,EC2,SecurityGroup,us-east-1,13,team_boss_wireless
sg-09789ad4a1a27cf94,bosswireless-prod-ecs-lb-public,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
sg-0d232a6670d7819bc,bosswireless-uat-ecs-access,EC2,SecurityGroup,us-east-1,15,team_boss_wireless
snap-0dfc69c8959a3a0af,(not tagged),EC2,Snapshot,us-east-1,7,team_boss_wireless
vol-0bc460173cabbf887,bosswireless-prod,EC2,Volume,us-east-1,13,team_boss_wireless
vol-046bf1bce581dc3fa,bosswireless-uat-utils,EC2,Volume,us-east-1,13,team_boss_wireless
vol-0839ff80ec4661672,bosswireless-prod,EC2,Volume,us-east-1,13,team_boss_wireless
bosswireless-prod-mvno-plan-store:9,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:144,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:113,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-cluster-monitor:44,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mvno-usage-import:45,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-consul-agent:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:131,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:146,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:108,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-consul-registrator:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mongos-router:143,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:94,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:105,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-mvno-prc:1,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-cluster-monitor:35,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:103,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-bi-gateway:3,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-spiffy:1,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-brmobile-api:63,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-prod-mongos-router:99,bosswireless-prod,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-uat-utils-api-autotests:4,bosswireless-uat,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
