Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
bosswireless-qa-rc-brmvno-next:13,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-brmobile-api:147,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-brmobile-api:159,bosswireless-qa,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
bosswireless-qa-rc-brmobile-api:94,bosswireless-qa-rc,ECS,TaskDefinition,us-east-1,13,team_boss_wireless
brmob20210212080935706800000002/d6b0bc840ecc19d8,bosswireless-qa-rc-brmobile-api-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
debitqamvnostore-tg-SYS-4473/ac8de4a19527924d,(not tagged),ElasticLoadBalancingV2,TargetGroup,us-east-1,8,team_brmobile
torch20210215154428174800000002/8003428c7ead5f58,bosswireless-qa-rc-torchwood-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmvn20230830100215827500000002/836eca42ee9639bb,bosswireless-qa-rc-brmvno-next-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
spiff20210510081518396500000001/97e400049d676504,bosswireless-qa-rc-spiffy-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
bi-ga20220526083819419100000001/65a6989589e27517,bosswireless-qa-rc-bi-gateway-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
